"slot","variation_id","processed_path","processed_sha256","processed_bytes","raw_evidence_path","selected_source","playable","review_status"
"resistance-upper-body|Dumbbell biceps curl","resistance-upper-body-dumbbell-biceps-curl-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-dumbbell-biceps-curl-technique.mp4","b5dd060fe65d47b7c65bb55b7c79a21cdc17b95c2964007c710b1e0d26bcd3cc","11334062","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-dumbbell-biceps-curl-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Hammer curl","resistance-upper-body-hammer-curl-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-hammer-curl-technique.mp4","00ecf51ba076216927d080bdc75ac24f9369abb4d15bddde7356c5081a98ab04","9655788","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-hammer-curl-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Overhead triceps extension","resistance-upper-body-overhead-triceps-extension-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-overhead-triceps-extension-technique.mp4","77fd69a3794791922c231e26d2a83b3105bb7f0baa322adff07a24cc1b3a970d","11048148","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-overhead-triceps-extension-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Triceps kickback","resistance-upper-body-triceps-kickback-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-triceps-kickback-technique.mp4","29071d5b4c354750a7242fad4eba2919392945c4a1e731c2ee53df327b6a9528","13012050","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-triceps-kickback-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Band pull-apart","resistance-upper-body-band-pull-apart-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-band-pull-apart-technique.mp4","43e43e05cd3e47b7f4d5eeadddb9225516b221caeec7327a65625ad476fe77d7","9039085","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-band-pull-apart-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Dumbbell reverse fly","resistance-upper-body-dumbbell-reverse-fly-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-dumbbell-reverse-fly-technique.mp4","8e125b539953e38b35089ed048f033f1d66fdad0dee17516e89bc04a5ad802f5","13054959","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-dumbbell-reverse-fly-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Scapular wall slide","resistance-upper-body-scapular-wall-slide-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-scapular-wall-slide-technique.mp4","13e1a11411e4421307bfdaab7a4cbbf2d842a205eda18fa946f035aad71fa483","11017653","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-scapular-wall-slide-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Bodyweight squat","resistance-lower-body-bodyweight-squat-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-bodyweight-squat-technique.mp4","64de6da545ae9ab70a9de784052e69a0b9df4bb0d7051e77bb4235dad3e31024","12415217","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-bodyweight-squat-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Goblet squat","resistance-lower-body-goblet-squat-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-goblet-squat-technique.mp4","6f6c8dd22b99dfa0981f584b6ffa2b603ddbc33ed278c868087c1da34cf523d2","10620865","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-goblet-squat-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Box squat","resistance-lower-body-box-squat-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-box-squat-technique.mp4","bae36c9d6a6346f9780eb00785714acd1a68bc8f1be618d34533cef892212fcf","12490696","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-box-squat-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Split squat","resistance-lower-body-split-squat-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-split-squat-technique.mp4","572594ad56081aa87af09a72dc3d7a8c2953016e1cda73b1f6f36f8711d13236","10001640","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-split-squat-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Reverse lunge","resistance-lower-body-reverse-lunge-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-reverse-lunge-technique.mp4","fec1420384f604d8cd196ef52c3f5ce46c82477e6dd3af51efaa1e332370a121","17437459","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-reverse-lunge-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Forward lunge","resistance-lower-body-forward-lunge-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-forward-lunge-technique.mp4","03ab104717b0c5a47ce5d9f47477089379465efda483f1c1fe488513d1bc634a","17604307","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-forward-lunge-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Lateral lunge","resistance-lower-body-lateral-lunge-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-lateral-lunge-technique.mp4","dcf9bc57e324ad5ae3a6742767392290a4aeb00e972f226960ef6a51d911db64","7421501","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-lateral-lunge-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Step-up","resistance-lower-body-step-up-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-step-up-technique.mp4","16cdaead70340f9e56bd1c9a22319b940fb24a7dc888665d0f08219c534b7eea","9801765","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-step-up-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Glute bridge","resistance-lower-body-glute-bridge-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-glute-bridge-technique.mp4","4d456a50596710f55b8d3962e4cfffe3d686e2387740a12999d9fd4a95b47bdf","12787247","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-glute-bridge-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Hip thrust","resistance-lower-body-hip-thrust-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-hip-thrust-technique.mp4","7b964a7e50ebb382319f5cb94926d50b41c30757ca2db48f2ff7a6f09a579a7f","9852636","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-hip-thrust-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Dumbbell Romanian deadlift","resistance-lower-body-dumbbell-romanian-deadlift-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-dumbbell-romanian-deadlift-technique.mp4","887e825e592c4cfcd55a272efb68b588242ffe7d981cd461fe877bc310636b59","12412908","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-dumbbell-romanian-deadlift-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Sumo squat","resistance-lower-body-sumo-squat-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-sumo-squat-technique.mp4","410b4b2ddf35366ef8be993f3ff80f696972d27a648b0c073e145a087abb0909","11948474","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-sumo-squat-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Standing calf raise","resistance-lower-body-standing-calf-raise-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-standing-calf-raise-technique.mp4","0e19ac86b4cc98cd145326ef91b443703ca8f4a06bc71609d9a36f274088537f","12333924","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-standing-calf-raise-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Seated calf raise","resistance-lower-body-seated-calf-raise-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-seated-calf-raise-technique.mp4","bdc723f38cd6d9d7a39de2904f6c5004fecb6dd66223fce1750afe206c8fb1fa","13896680","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-seated-calf-raise-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Band hamstring curl","resistance-lower-body-band-hamstring-curl-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-band-hamstring-curl-technique.mp4","3d678041f35385f59f1764088beac428942755f42f8046d608c0e1a9b9ca6373","8794027","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-band-hamstring-curl-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Lateral band walk","resistance-lower-body-lateral-band-walk-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-lateral-band-walk-technique.mp4","aab5809932aeb97d8893994e1fe28b2edb09a1a7728bef00aaf96f6c8e960a74","8493188","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-lateral-band-walk-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Clamshell","resistance-lower-body-clamshell-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-clamshell-technique.mp4","df32089f3d725e728f1b2ef884a3945c5c3724b41bc675c6db9543922d9f627c","12752240","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-clamshell-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Single-leg sit-to-stand","resistance-lower-body-single-leg-sit-to-stand-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-single-leg-sit-to-stand-technique.mp4","afb1b39b6d31157fe63e2fd2bfe85a9477d6d2476d259b6fc0a8f362d4343312","16269931","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-single-leg-sit-to-stand-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Wall sit","resistance-lower-body-wall-sit-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-wall-sit-technique.mp4","007e7f092717f94508cc844ad22ad925c9770022572be973a6031dac792893af","13836585","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-wall-sit-technique.mp4","processed","False","requires_release_review"
"resistance-lower-body|Heel-elevated squat","resistance-lower-body-heel-elevated-squat-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-lower-body-heel-elevated-squat-technique.mp4","9b7dcadcb4c0febff870a1e35aa506d3c312e74c9921e4ca660a095327a7f014","14290031","G:\BIL_Workout_Media\bulk_1000\raw\resistance-lower-body-heel-elevated-squat-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Dumbbell squat to press","resistance-full-body-dumbbell-squat-to-press-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-dumbbell-squat-to-press-technique.mp4","b07bec5c21bfefe1faf87084d556358269d7effe9336b80540e33b5925d0d4e1","16997181","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-dumbbell-squat-to-press-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Dumbbell deadlift to row","resistance-full-body-dumbbell-deadlift-to-row-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-dumbbell-deadlift-to-row-technique.mp4","e64c88c20594990042f2075a768c24e195d42ff08cbbdb296892d9cbd759cfe4","19254451","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-dumbbell-deadlift-to-row-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Reverse lunge to curl","resistance-full-body-reverse-lunge-to-curl-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-reverse-lunge-to-curl-technique.mp4","08229515714054eaaf3d576a6fc361f9e9401cee9e4b81c5144abc20f1f50ecc","11992677","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-reverse-lunge-to-curl-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Step-up to knee drive","resistance-full-body-step-up-to-knee-drive-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-step-up-to-knee-drive-technique.mp4","e6c56dbd9475a6d35c3929a1ecad2a41231fadd3fce150161d7fbb5142064c26","10847797","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-step-up-to-knee-drive-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Kettlebell deadlift","resistance-full-body-kettlebell-deadlift-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-kettlebell-deadlift-technique.mp4","7099e0d66ea94287056f4013363abbd338723d39731d7a950385d4e32c2ce1e7","9534662","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-kettlebell-deadlift-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Suitcase deadlift","resistance-full-body-suitcase-deadlift-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-suitcase-deadlift-technique.mp4","36fed0e8e45e0f171e9dcdf42ce701a12a6fffa122b9b31e64fac8a73e480ba6","15653973","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-suitcase-deadlift-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Farmer carry","resistance-full-body-farmer-carry-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-farmer-carry-technique.mp4","ef74d4a1eff86f6d7d6deb4bafeed3d9f38fb484bc4d754da3db9417296a3adf","21511950","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-farmer-carry-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Suitcase carry","resistance-full-body-suitcase-carry-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-suitcase-carry-technique.mp4","549e93e8c64895325b3a5013f28649520620bf600230cdc9af3519456f47ea99","9758865","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-suitcase-carry-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Bear crawl","resistance-full-body-bear-crawl-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-bear-crawl-technique.mp4","a5c5595945abc427631051cb692759d77f237bd0221a221770f268e4668eb452","15568608","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-bear-crawl-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Inchworm walkout","resistance-full-body-inchworm-walkout-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-inchworm-walkout-technique.mp4","856f3f92a7de4e3750655dba459116fb42373b70d8f9229caffcd1804da63488","11200634","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-inchworm-walkout-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Renegade row from knees","resistance-full-body-renegade-row-knees-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-renegade-row-knees-technique.mp4","b46b5d2d7ad9fe8f52ed31ce16de1a17742ba6eac7c3ef0ad1a7cee01e7985d2","13001517","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-renegade-row-knees-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Half-kneeling cable chop","resistance-full-body-half-kneeling-cable-chop-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-half-kneeling-cable-chop-technique.mp4","7b42400743ba330e7b7a5898906770ef480a74c7a85cf4267abe60ba32c22961","11041944","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-half-kneeling-cable-chop-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Half-kneeling cable lift","resistance-full-body-half-kneeling-cable-lift-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-full-body-half-kneeling-cable-lift-technique.mp4","c9e44c92eb58f66124a94bfebb1c9d7f0ae9db863d43c30b92185a61f84ad140","18717773","G:\BIL_Workout_Media\bulk_1000\raw\resistance-full-body-half-kneeling-cable-lift-technique.mp4","processed","False","requires_release_review"
"resistance-full-body|Sandbag bear-hug squat","resistance-full-body-sandbag-bear-hug-squat-technique",,,,,"none","False","missing_processed"
"resistance-full-body|Medicine-ball squat to press","resistance-full-body-medicine-ball-squat-press-technique",,,,,"none","False","missing_processed"
"resistance-full-body|Partial Turkish get-up","resistance-full-body-partial-turkish-get-up-technique",,,,,"none","False","missing_processed"
"resistance-full-body|Battle-rope alternating wave","resistance-full-body-battle-rope-alternating-wave-technique",,,,,"none","False","missing_processed"
"resistance-full-body|Dumbbell thruster","resistance-full-body-dumbbell-thruster-technique",,,,,"none","False","missing_processed"
"resistance-full-body|Step-back burpee","resistance-full-body-step-back-burpee-technique",,,,,"none","False","missing_processed"
"resistance-full-body|Dumbbell front-rack march","resistance-full-body-dumbbell-front-rack-march-technique",,,,,"none","False","missing_processed"
"cardio-low-impact|March in place","cardio-low-impact-march-in-place-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-march-in-place-steady.mp4","eda0ce342d659f12eca40bb6ae3c1492d11e48eb3fcb2223c9504127c0b0c248","23637472","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-march-in-place-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Step touch","cardio-low-impact-step-touch-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-step-touch-steady.mp4","f664731263d50c150d627ceb55fa176d8a262a2b3ac2239173aa4d4cfb3c3f9b","21093261","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-step-touch-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Low-impact step jack","cardio-low-impact-low-impact-step-jack-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-low-impact-step-jack-steady.mp4","995bd2454c94ef2d396df268b3488f8f38343f253b6b53f4ddd49b3bcbaa3e44","18654759","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-low-impact-step-jack-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Alternating heel dig","cardio-low-impact-alternating-heel-dig-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-alternating-heel-dig-steady.mp4","49806edb2bf25b9210031dc917d0c229b74268a147d381cd2b850722b75214ef","25522986","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-alternating-heel-dig-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Alternating knee lift","cardio-low-impact-alternating-knee-lift-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-alternating-knee-lift-steady.mp4","58a11d33163bc7f6cce2df912272ce4ea5442560a5364c2c6b962739325bfb53","18265880","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-alternating-knee-lift-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Hamstring curl step","cardio-low-impact-hamstring-curl-step-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-hamstring-curl-step-steady.mp4","817614482a7cdf86d1676faeb70c390a413bfccacbd77a892615ea81eff8f9cf","28527648","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-hamstring-curl-step-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Grapevine step","cardio-low-impact-grapevine-step-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-grapevine-step-steady.mp4","16226c96e95bf739f67c1a0f8e143435c1d81e5a5f995c966d084ac2f52f899c","22863288","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-grapevine-step-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Side step and reach","cardio-low-impact-side-step-reach-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-side-step-reach-steady.mp4","d5d2f4656af0ae806b3b3bbda4577a082f4d5a7ba51b928a87edec762ff41eb9","22073386","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-side-step-reach-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Forward toe tap","cardio-low-impact-forward-toe-tap-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-forward-toe-tap-steady.mp4","db7c09007c579c4ad7ed8011cb648beb13f9b3e5e9af69609de5172c2a0084d0","19403598","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-forward-toe-tap-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Boxer step","cardio-low-impact-boxer-step-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-boxer-step-steady.mp4","acfdf210393b62ecbeaaa05a902d1eefff539519ebd8c1b85992adcb9624a638","20547928","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-boxer-step-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Low-impact skater step","cardio-low-impact-low-impact-skater-step-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-low-impact-skater-step-steady.mp4","7421740612a13ed600ec9796918f5f2077935833f76146efcecbb79695598aff","26833448","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-low-impact-skater-step-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Mambo step","cardio-low-impact-mambo-step-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-mambo-step-steady.mp4","028981d7645451eea5ccab9ab0f29d0ed91179792433b4fea157d62e4935cb7b","26326243","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-mambo-step-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|V-step","cardio-low-impact-v-step-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-v-step-steady.mp4","15ed9093f47f3fda265f81ba4fb9ecff2df2caca3eb2b6be6aec97328e99da6c","36713428","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-v-step-steady.mp4","processed","False","requires_release_review"
"cardio-low-impact|Side knee pull","cardio-low-impact-side-knee-pull-steady","G:\BIL_Workout_Media\bulk_1000_female_10s\processed\cardio-low-impact-side-knee-pull-steady.mp4","8ad816741be49a9e17efce8d1dae49cfe1339d64233b634d6728cd6318e7d27b","25973538","G:\BIL_Workout_Media\bulk_1000_female_10s\raw\cardio-low-impact-side-knee-pull-steady.mp4","processed","False","requires_release_review"
